,CMCSA.O,AMGN.O,INTU.O,CSGP.O,CPRT.O,AMAT.O,ODFL.O,COST.O,AEP.O,MNST.O,EXC.O,BIIB.O,CSX.O,FAST.O,INTC.O,CSCO.O,MCHP.O,MAR.O,KLAC.O,CCEP.O,HON.O,ASML.O,CTAS.O,ADP.O,AZN.O,MSFT.O,BKNG.O,ADI.O,AMD.O,IDXX.O,CDNS.O,ADBE.O,EA.O,CTSH.O,ADSK.O,AMZN.O,GILD.O,AAPL.O,LRCX.O
2024-05-07,0.0,0.14117951576754362,0.0,2.942608145901879e-12,0.0,2.394682301918887e-12,9.343671147951754e-12,0.2608974800448046,0.03977370417174219,0.0,0.0,0.0,0.0,0.0,1.1169227241871915e-11,0.0,2.2026132828701024e-12,2.317456796883559e-13,2.047653596358306e-12,0.0,0.0,8.445088205259478e-12,0.0,0.0,0.5581492999457996,0.0,0.0,9.251988950068992e-13,8.987309658501154e-12,3.768609103417503e-13,4.963833990354234e-12,0.0,0.0,0.0,9.932987273236084e-12,0.0,0.0,9.809678927328699e-14,6.0484572188362046e-12
2024-05-08,0.0,0.14365752266142212,0.0,2.8582341060374883e-12,0.0,2.3815900818417e-12,9.135437090877406e-12,0.25676397553718444,0.03986106871153104,0.0,0.0,0.0,0.0,0.0,1.085986310667966e-11,0.0,2.18848324838627e-12,2.2980928599269477e-13,2.0439606392413667e-12,0.0,0.0,8.42734613557726e-12,0.0,0.0,0.5597174330206873,0.0,0.0,9.257928484321444e-13,8.889577477490032e-12,3.7735461740063723e-13,4.9101993074032845e-12,0.0,0.0,0.0,9.845942695125204e-12,0.0,0.0,9.772347550510601e-14,6.003513758935973e-12
2024-05-09,0.0,0.14436641364730493,0.0,2.853246690268898e-12,0.0,2.3392080705664882e-12,9.090117258787604e-12,0.2586428342327923,0.03989547421035567,0.0,0.0,0.0,0.0,0.0,1.0752011754135095e-11,0.0,2.148291501474022e-12,2.2895733930914567e-13,1.9993782107145025e-12,0.0,0.0,8.337588710187635e-12,0.0,0.0,0.5570952778409859,0.0,0.0,9.135447915578313e-13,8.704709344229812e-12,3.830049598400068e-13,4.8933788614717035e-12,0.0,0.0,0.0,9.931599875972332e-12,0.0,0.0,9.742958269652107e-14,5.888867538172715e-12
2024-05-10,0.0,0.1433081963468591,0.0,2.8114120137126504e-12,0.0,2.380949313078768e-12,9.195759152477384e-12,0.26169979328387644,0.0402389768110976,0.0,0.0,0.0,0.0,0.0,1.0680583899512236e-11,0.0,2.1516482083546415e-12,2.3208323950110627e-13,2.0234748808965833e-12,0.0,0.0,8.50186823917537e-12,0.0,0.0,0.5547530334892953,0.0,0.0,9.254927222906952e-13,8.689521751736985e-12,3.90411606678541e-13,4.93774058527115e-12,0.0,0.0,0.0,9.905824478029018e-12,0.0,0.0,9.688827087368434e-14,5.947980336918891e-12
2024-05-13,0.07792901761909315,0.0,3.2976371215019754e-13,1.7738948113944622e-11,1.4176521501034727e-11,0.0,2.442889789809559e-11,0.2796523178027061,0.2651147390166456,0.0,2.650080708878154e-12,0.07662720941642004,6.812288891815395e-12,7.218067960187965e-12,4.650644604967365e-11,6.299181278454982e-13,0.0,1.262420897197347e-11,5.020269309463127e-11,0.0,4.491303044027821e-12,0.0,0.0,7.292556520836186e-12,0.22832416836512898,2.2853086558225818e-12,0.0,0.053196304584336336,0.0,0.0,9.737115286056097e-12,0.01915624304244563,6.073983071036911e-12,9.52495064319934e-13,1.4624480414872266e-11,0.0,2.0652072700767065e-12,1.3599142821466508e-11,0.0
2024-05-14,0.07801670656745999,0.0,3.3446681117265256e-13,1.7598521185768718e-11,1.414307673303151e-11,0.0,2.4445637423978427e-11,0.28096023316743984,0.26329601673056585,0.0,2.6718491282987588e-12,0.07723770212217525,6.703390830064226e-12,7.21224399647147e-12,4.7382826173901804e-11,6.341246631474002e-13,0.0,1.2551674820612257e-11,5.14735284536038e-11,0.0,4.483339912662095e-12,0.0,0.0,7.232999075090957e-12,0.22742976922184424,2.3035854383783164e-12,0.0,0.05416600077699697,0.0,0.0,9.709348269205903e-12,0.01889357116724869,6.081298160838027e-12,9.523023599123487e-13,1.45855219079672e-11,0.0,2.0708984411091905e-12,1.3698493946245563e-11,0.0
2024-05-15,0.0763798608423135,0.0,3.4147721618731503e-13,1.7565794932686284e-11,1.4239369246451534e-11,0.0,2.4470578109857978e-11,0.2814880639287863,0.26411590489563247,0.0,2.6685190000329893e-12,0.07932938118435438,6.620383251085907e-12,7.115321668984705e-12,4.725299423396482e-11,6.371742319081407e-13,0.0,1.2436067507509962e-11,5.305231398164941e-11,0.0,4.480016770645976e-12,0.0,0.0,7.195107750916025e-12,0.22500626919408775,2.3209939533486158e-12,0.0,0.05460177256180593,0.0,0.0,9.946159780969841e-12,0.019078747145148203,6.0709650551627415e-12,9.580372821641144e-13,1.4738336135079985e-11,0.0,2.031293663687206e-12,1.373058144416563e-11,0.0
2024-05-16,0.07646487346982135,0.0,3.3989970865711586e-13,1.7462395583627902e-11,1.4024196317863595e-11,0.0,2.4190758582065885e-11,0.2830949083242519,0.26523768048646124,0.0,2.655782039484193e-12,0.07739910583812051,6.6251237416757795e-12,7.08350532447608e-12,4.830763190136086e-11,6.189107810251665e-13,0.0,1.2567637204113625e-11,5.223579123716073e-11,0.0,4.5292027507506394e-12,0.0,0.0,7.28132797046441e-12,0.2247743570131428,2.3050515958388537e-12,0.0,0.05408421488876263,0.0,0.0,9.785648425768422e-12,0.018944859731829796,6.132314033816542e-12,9.765924597998175e-13,1.4722457767071054e-11,0.0,2.053072608934779e-12,1.3712634345972646e-11,0.0
2024-05-17,0.07619919373286378,0.0,3.4364040818621814e-13,1.7321321414619424e-11,1.3990520395089453e-11,0.0,2.4287495096064022e-11,0.2838068307445192,0.2653614334781907,0.0,2.6505457131634903e-12,0.07750474638716054,6.538935597324792e-12,7.035557869276377e-12,4.7961014800519256e-11,6.161563995204246e-13,0.0,1.2491233633040009e-11,5.206151577448091e-11,0.0,4.510724364126381e-12,0.0,0.0,7.340542703433404e-12,0.22415567840189746,2.2986252329321127e-12,0.0,0.054023448897942535,0.0,0.0,9.772419753693208e-12,0.018948668110678486,6.05968675534004e-12,9.579835126970767e-13,1.476071135310673e-11,0.0,2.046917402950744e-12,1.3701951819099304e-11,0.0
2024-05-20,0.07612375033704298,0.00023316578374842987,2.8355982409922036e-14,1.5079474463080336e-12,6.476277484069839e-13,3.4074096016275975e-13,0.0,0.24047038188039888,0.07772280408781088,4.628668244127553e-13,0.06733977565544853,0.07406446312918342,1.0320328927353913e-13,0.0,0.0,0.0,0.0,5.942024935269868e-13,1.483045293124142e-13,8.453486502965041e-14,5.626380281662044e-12,3.6270431639200163e-13,2.3750601164576334e-13,3.9068612745832505e-13,0.28711630087204343,1.788951816665721e-13,4.992408984212847e-14,0.02648084359663294,0.00867392744549222,0.0,8.919636405348152e-15,1.4776210456037533e-13,6.740764578332133e-13,0.0,0.0,1.403240632288918e-13,0.14177458720268743,0.0,5.852484905561732e-13
